Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
14,1,2.0,1.0,2.771,0.688,1,0.0,24,2,9.0,9.0,2212.0,100.0,2.0
14,2,2.0,1.0,1.42,0.742,1,1.0,25,2,8.0,8.0,1026.0,1026.0,0.0
14,2,1.0,1.0,1.347,0.763,1,0.0,26,2,7.0,7.0,248.0,248.0,0.0
14,1,1.0,1.0,0.809,1.066,1,1.0,27,2,8.0,7.0,976.0,283.0,2.0
14,2,2.0,1.0,0.956,1.558,1,1.0,28,2,7.0,7.0,212.0,212.0,0.0
14,2,2.0,1.0,0.913,0.704,1,1.0,29,2,8.0,8.0,328.0,328.0,0.0
14,1,1.0,1.0,0.871,0.719,1,1.0,30,2,8.0,6.0,455.0,457.0,2.0
14,2,1.0,1.0,1.035,0.726,1,0.0,31,2,9.0,9.0,653.0,653.0,0.0
14,1,1.0,1.0,0.809,0.699,1,1.0,32,2,8.0,7.0,962.0,408.0,2.0
15,1,1.0,2.0,1.367,1.057,1,1.0,18,2,8.0,6.0,175.0,160.0,2.0
15,1,2.0,2.0,2.343,0.937,1,0.0,19,2,9.0,9.0,120.0,1042.0,1.0
15,2,2.0,2.0,1.403,1.123,1,1.0,20,2,7.0,7.0,920.0,920.0,0.0
15,2,NAN,2.0,NAN,0.686,1,NAN,21,2,8.0,8.0,1026.0,1026.0,0.0
15,1,1.0,2.0,1.215,0.844,1,1.0,22,2,8.0,7.0,976.0,283.0,2.0
15,1,1.0,1.0,1.573,1.067,1,1.0,23,2,9.0,9.0,2212.0,100.0,2.0
15,2,2.0,2.0,1.174,1.602,1,1.0,24,2,8.0,8.0,328.0,328.0,0.0
15,1,1.0,1.0,1.603,0.948,1,1.0,25,2,8.0,7.0,962.0,408.0,2.0
15,2,1.0,1.0,1.784,1.103,1,0.0,26,2,6.0,6.0,422.0,422.0,0.0
15,1,1.0,1.0,1.677,0.925,1,1.0,27,2,8.0,6.0,896.0,100.0,2.0
15,2,NAN,1.0,NAN,1.365,1,NAN,28,2,8.0,8.0,2183.0,2183.0,0.0
15,2,1.0,2.0,1.383,1.769,1,0.0,29,2,9.0,9.0,653.0,653.0,0.0
15,1,2.0,2.0,0.789,0.667,1,0.0,30,2,8.0,6.0,455.0,457.0,2.0
15,2,2.0,2.0,0.976,0.929,1,1.0,31,2,7.0,7.0,212.0,212.0,0.0
15,2,2.0,2.0,1.439,0.678,1,1.0,32,2,7.0,7.0,248.0,248.0,0.0
16,1,1.0,2.0,0.841,0.778,1,1.0,18,2,9.0,9.0,120.0,1042.0,1.0
16,2,1.0,2.0,0.702,1.796,1,0.0,19,2,8.0,8.0,2183.0,2183.0,0.0
16,2,1.0,3.0,1.089,2.31,1,0.0,20,2,8.0,8.0,1026.0,1026.0,0.0
16,2,2.0,2.0,0.742,0.93,1,1.0,21,2,7.0,7.0,248.0,248.0,0.0
16,2,2.0,3.0,0.89,1.339,1,1.0,22,2,7.0,7.0,212.0,212.0,0.0
16,2,2.0,2.0,0.652,0.718,1,1.0,23,2,8.0,8.0,328.0,328.0,0.0
16,1,2.0,1.0,0.888,0.903,1,0.0,24,2,8.0,7.0,962.0,408.0,2.0
16,2,1.0,2.0,0.969,0.889,1,0.0,25,2,9.0,9.0,653.0,653.0,0.0
16,1,2.0,2.0,0.735,2.957,1,0.0,26,2,8.0,6.0,175.0,160.0,2.0
16,2,2.0,3.0,0.454,1.316,1,1.0,27,2,7.0,7.0,920.0,920.0,0.0
16,1,1.0,4.0,0.5,0.905,1,1.0,28,2,8.0,7.0,976.0,283.0,2.0
16,1,1.0,4.0,1.11,0.69,1,1.0,29,2,8.0,6.0,455.0,457.0,2.0
16,1,1.0,1.0,1.256,1.769,1,1.0,30,2,9.0,9.0,2212.0,100.0,2.0
16,2,2.0,2.0,1.29,1.399,1,1.0,31,2,6.0,6.0,422.0,422.0,0.0
16,1,1.0,2.0,0.932,2.04,1,1.0,32,2,8.0,6.0,896.0,100.0,2.0
