Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
3,57,52.0,5,3.79039,1.713805,2,49,100,0
3,44,44.0,6,3.24146,2.054125,2,49,2000,1
3,58,57.0,7,4.331375,2.454025,2,49,100,0
3,56,51.0,3,4.352135,2.45728,2,49,2000,1
3,57,55.0,5,3.01106,1.330965,2,49,100,0
3,47,43.0,6,3.952255,2.487505,2,49,2000,1
3,48,44.0,4,6.75249,2.24699,2,49,100,0
3,36,37.0,7,2.656935,2.38568,2,49,2000,1
3,45,48.0,4,5.12319,1.89171,2,49,100,0
3,56,46.0,6,6.01688,1.963335,2,49,2000,1
3,60,42.0,7,4.35182,1.733925,2,49,2000,1
3,54,46.0,5,5.548255,2.554205,2,49,100,0
3,35,36.0,3,5.91708,2.578775,2,49,100,0
3,59,52.0,6,5.306215,2.46617,2,49,2000,1
3,64,52.0,3,5.300875,2.02232,2,49,2000,1
3,61,54.0,7,4.372115,2.10165,2,49,100,0
3,44,50.0,7,5.175845,6.122405,2,49,100,0
3,61,62.0,3,3.292035,1.916205,2,49,2000,1
3,34,33.0,6,6.71673,1.628885,2,49,100,0
3,42,51.0,6,6.594065,1.688395,2,49,2000,1
3,41,40.0,7,4.29583,2.33867,2,49,100,0
3,56,55.0,4,2.54764,2.015705,2,49,2000,1
3,52,59.0,7,4.73743,1.94515,2,49,2000,1
3,38,47.0,3,4.998055,2.482265,2,49,100,0
3,54,64.0,7,6.93498,2.135845,2,49,100,0
3,58,56.0,3,5.52603,2.271325,2,49,2000,1
3,38,39.0,7,4.8164,2.04634,2,49,100,0
3,55,57.0,3,3.046,2.84775,2,49,2000,1
3,59,60.0,7,2.96405,1.914565,2,49,2000,1
3,52,57.0,2,5.758265,2.89517,2,49,100,0
3,57,54.0,7,4.399585,2.24428,2,49,100,0
3,60,63.0,4,2.51704,1.92101,2,49,2000,1
3,56,66.0,7,3.604255,1.63039,2,49,100,0
3,53,53.0,6,3.16824,2.40955,2,49,2000,1
3,54,49.0,6,5.52787,2.990545,2,49,100,0
3,64,51.0,3,4.32224,1.65335,2,49,2000,1
3,55,53.0,7,3.95858,1.851815,2,49,100,0
3,57,55.0,8,2.24081,1.500005,2,49,2000,1
3,52,60.0,4,3.60692,1.58371,2,49,100,0
3,60,58.0,7,4.747825,1.67674,2,49,2000,1
3,35,36.0,5,3.11669,1.348555,3,32,2000,1
3,40,31.0,6,3.679555,2.328365,3,32,100,0
3,32,37.0,2,3.201,1.831435,3,32,100,0
3,41,40.0,8,2.634725,1.98763,3,32,2000,1
3,36,34.0,3,4.6398,2.00801,3,32,100,0
3,19,22.0,7,2.232825,1.571295,3,32,2000,1
3,37,50.0,3,4.40646,3.124965,3,32,100,0
3,35,32.0,6,3.85826,2.95713,3,32,2000,1
3,29,37.0,7,7.786815,2.116635,3,32,100,0
3,28,28.0,4,6.860025,1.83493,3,32,2000,1
3,37,36.0,4,3.36694,2.332115,3,32,2000,1
3,32,38.0,0,6.906665,2.90061,3,32,100,0
3,45,44.0,10,4.530235,3.167545,3,32,100,0
3,46,41.0,9,3.1061,2.05793,3,32,2000,1
3,38,33.0,7,3.186495,1.86807,3,32,2000,1
3,46,32.0,9,4.694255,3.009795,3,32,100,0
3,24,20.0,10,4.010235,3.023255,3,32,100,0
3,33,40.0,3,4.30945,1.643645,3,32,2000,1
3,46,43.0,5,6.374205,2.12659,3,32,100,0
3,41,37.0,7,6.96781,2.52419,3,32,2000,1
3,29,30.0,10,3.553215,2.70911,3,32,2000,1
3,43,37.0,2,4.865465,1.70732,3,32,100,0
3,24,26.0,4,4.85311,2.50743,3,32,2000,1
3,26,28.0,5,3.660255,3.65559,3,32,100,0
3,40,32.0,0,4.40298,2.085795,3,32,100,0
3,20,21.0,3,7.1541,3.807625,3,32,2000,1
3,45,35.0,6,4.63387,2.04474,3,32,100,0
3,41,41.0,0,8.52663,2.127815,3,32,2000,1
3,30,26.0,3,4.566565,1.693265,3,32,100,0
