Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
2,2,2,4,0.825699158,0.42410333,0.255697168,1,1,1,7
2,1,1,2,1.765043104,0.781587159,0.214491089,1,1,1,7
2,2,2,4,0.6988734,0.302783436,0.214491089,1,1,1,7
2,1,1,4,0.880241154,0.363747363,0.176624988,1,1,1,7
2,2,1,3,3.161649639,0.731298292,0.176624988,1,0,1,7
2,1,1,4,1.098531133,0.302403113,0.210890538,1,1,1,7
2,2,2,4,0.75151635,0.336361398,0.210890538,1,1,1,7
2,2,2,4,1.120432848,0.371069737,0.173342238,1,1,1,7
2,2,2,4,1.40939965,0.375374067,0.173342238,1,1,1,7
2,2,2,4,0.645505284,0.394601723,0.139418885,1,1,1,7
2,1,1,4,0.67938067,0.379887163,0.139418885,1,1,1,7
2,1,1,4,0.746510812,0.331521816,0.109388808,1,1,1,7
2,2,2,2,1.802948724,0.340004101,0.109388808,1,1,1,7
2,1,2,2,2.002248233,0.306793065,0.083505346,1,0,1,7
2,2,1,1,1.603016487,0.306281602,0.109388808,1,0,1,7
2,1,1,3,0.994641776,0.489525206,0.130927035,1,1,1,7
2,2,2,3,1.347324341,0.317419205,0.130927035,1,1,1,7
2,2,2,3,1.084859401,0.30628175,0.101991501,1,1,1,7
2,1,1,1,2.370586771,0.372515967,0.101991501,1,1,1,7
2,2,2,3,1.250096152,0.351854349,0.07726373,1,1,1,7
2,2,2,2,2.030373694,0.475808404,0.07726373,1,1,1,7
2,1,1,1,1.461804792,0.491619331,0.056917655,1,1,1,7
2,1,1,2,1.444169254,0.329661693,0.056917655,1,1,1,7
2,1,2,2,2.073474118,0.583184782,0.040986162,1,0,1,7
2,1,1,1,1.308901901,0.423700472,0.056917655,1,1,1,7
2,2,1,1,0.70789651,0.375423537,0.056917655,1,0,1,7
2,2,1,1,0.532565965,0.400035114,0.072849149,1,0,1,7
2,2,1,1,0.684097223,0.416740809,0.088780642,1,0,1,7
2,2,2,1,1.195598696,0.412091322,0.108242181,1,1,1,7
2,2,1,1,2.296105497,0.411866129,0.108242181,1,0,1,7
