Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,0,1.0,0.544113,0.608134,0.0,0.0,0.0,14,20150519
1,1,1.0,0.945503,0.394826,0.256,0.0,1.0,14,20150519
1,1,0.0,0.67398,0.608315,0.064,1.0,0.0,14,20150519
1,1,1.0,0.924778,0.38148,0.512,0.0,1.0,14,20150519
1,0,0.0,0.875721,0.674908,0.064,0.0,1.0,14,20150519
1,0,0.0,0.959003,0.554735,0.512,1.0,1.0,14,20150519
1,0,1.0,0.017039,2.034892,0.032,1.0,0.0,14,20150519
1,1,0.0,0.356253,0.995468,0.032,1.0,0.0,14,20150519
1,0,1.0,0.110399,0.794724,0.064,0.0,0.0,14,20150519
1,1,0.0,0.236463,0.594855,0.064,0.0,0.0,14,20150519
1,0,0.0,0.268407,2.021231,0.032,0.0,1.0,14,20150519
1,0,0.0,1.0,0.594298,0.256,1.0,1.0,14,20150519
1,0,0.0,0.145575,1.101266,0.032,0.0,1.0,14,20150519
1,1,1.0,0.987524,0.58144,0.256,0.0,1.0,14,20150519
1,1,1.0,0.797572,0.621362,0.064,0.0,1.0,14,20150519
1,1,0.0,0.782931,0.754644,0.064,1.0,0.0,14,20150519
1,1,1.0,1.0,0.912966,0.128,1.0,1.0,14,20150519
1,1,1.0,0.047272,0.701501,0.032,0.0,1.0,14,20150519
1,1,1.0,1.0,0.474733,0.256,0.0,1.0,14,20150519
1,1,1.0,1.0,0.514867,0.256,1.0,1.0,14,20150519
1,0,0.0,1.0,0.621612,0.032,1.0,1.0,14,20150519
1,0,1.0,0.073131,0.448265,0.128,0.0,0.0,14,20150519
1,0,0.0,1.0,0.448229,0.512,0.0,1.0,14,20150519
1,0,1.0,0.143864,0.63486,0.064,1.0,0.0,14,20150519
1,0,0.0,0.957672,0.501586,0.032,1.0,1.0,14,20150519
1,1,1.0,0.968891,0.487951,0.256,1.0,1.0,14,20150519
1,1,1.0,0.907855,0.407985,0.128,0.0,1.0,14,20150519
1,1,1.0,0.966229,0.514713,0.0,0.0,1.0,14,20150519
1,1,1.0,0.050694,1.088161,0.0,1.0,1.0,14,20150519
1,0,0.0,0.137779,0.648181,0.0,1.0,1.0,14,20150519
1,0,0.0,1.0,0.568167,0.512,1.0,1.0,14,20150519
1,0,1.0,0.136448,0.58142,0.0,0.0,0.0,14,20150519
1,1,1.0,0.160786,0.594938,0.0,0.0,1.0,14,20150519
1,1,0.0,0.149758,0.661563,0.128,0.0,0.0,14,20150519
1,1,0.0,1.0,0.501306,0.0,1.0,0.0,14,20150519
1,1,1.0,0.720565,0.647904,0.128,0.0,1.0,14,20150519
1,0,1.0,0.214406,0.674764,0.0,0.0,0.0,14,20150519
1,0,0.0,1.0,0.613878,0.512,0.0,1.0,15,20150519
1,0,0.0,0.093476,0.741439,0.128,1.0,1.0,15,20150519
1,1,1.0,0.244829,0.621461,0.0,1.0,1.0,15,20150519
1,1,1.0,0.906334,0.541402,0.128,1.0,1.0,15,20150519
1,0,1.0,1.0,0.448052,0.0,1.0,0.0,15,20150519
1,0,0.0,1.0,0.514882,0.256,0.0,1.0,15,20150519
1,1,1.0,1.0,0.461494,0.512,0.0,1.0,15,20150519
1,1,1.0,1.0,0.408147,0.128,1.0,1.0,15,20150519
1,1,0.0,1.0,0.474842,0.0,1.0,0.0,15,20150519
1,0,1.0,0.171244,0.90148,0.0,0.0,0.0,15,20150519
1,1,1.0,1.0,0.448048,0.512,1.0,1.0,15,20150519
1,0,0.0,1.0,0.421473,0.512,0.0,1.0,15,20150519
1,1,1.0,1.0,1.621176,0.064,1.0,1.0,15,20150519
1,0,0.0,0.265555,0.728075,0.128,0.0,1.0,15,20150519
1,1,1.0,1.0,0.354738,0.256,0.0,1.0,15,20150519
1,1,1.0,1.0,0.394784,0.256,1.0,1.0,15,20150519
1,0,0.0,1.0,0.38151,0.512,0.0,1.0,15,20150519
1,1,0.0,0.106025,1.46143,0.128,0.0,0.0,15,20150519
1,1,1.0,1.0,0.554612,0.512,0.0,1.0,15,20150519
1,1,1.0,0.288372,0.514799,0.512,1.0,1.0,15,20150519
1,1,1.0,0.230949,1.567944,0.128,0.0,1.0,15,20150519
1,0,0.0,1.0,0.487083,0.064,0.0,1.0,15,20150519
1,0,0.0,0.073131,0.408115,0.032,1.0,1.0,15,20150519
1,1,1.0,1.0,0.314799,0.256,0.0,1.0,15,20150519
1,0,1.0,0.022933,0.554789,0.128,0.0,0.0,15,20150519
1,1,1.0,0.509317,0.848197,0.064,1.0,1.0,15,20150519
1,0,0.0,1.0,0.688166,0.0,1.0,1.0,15,20150519
1,0,0.0,0.745664,0.768162,0.064,0.0,1.0,15,20150519
1,1,0.0,0.806509,0.474859,0.0,1.0,0.0,15,20150519
1,1,1.0,0.979348,0.354615,0.256,1.0,1.0,15,20150519
1,0,0.0,0.089483,0.621589,0.032,1.0,1.0,15,20150519
1,1,0.0,0.496768,0.71482,0.032,0.0,0.0,15,20150519
1,1,1.0,1.0,0.38145,0.256,0.0,1.0,15,20150519
1,1,1.0,1.0,0.434725,0.256,1.0,1.0,15,20150519
1,0,0.0,1.0,0.381535,0.512,0.0,1.0,15,20150519
1,0,0.0,1.0,0.381578,0.064,1.0,1.0,15,20150519
1,0,0.0,0.274872,0.621463,0.064,0.0,1.0,15,20150519
1,1,1.0,0.624733,0.634807,0.032,1.0,1.0,15,20150519
1,0,0.0,1.0,0.487793,0.128,1.0,1.0,15,20150519
1,1,1.0,0.206991,0.555652,0.0,0.0,1.0,15,20150519
1,1,1.0,0.959954,0.421464,0.032,0.0,1.0,15,20150519
1,0,0.0,1.0,0.474627,0.512,1.0,1.0,15,20150519
1,0,1.0,0.315372,0.554346,0.0,0.0,0.0,15,20150519
1,1,0.0,0.133976,0.661324,0.0,0.0,0.0,15,20150519
1,0,1.0,0.818678,0.754908,0.064,1.0,0.0,15,20150519
1,0,1.0,0.095568,0.794754,0.032,0.0,0.0,15,20150519
1,0,0.0,1.0,0.408133,0.512,1.0,1.0,15,20150519
1,1,0.0,0.042898,0.634751,0.032,1.0,0.0,15,20150519
1,0,0.0,1.0,0.87482,0.064,1.0,1.0,15,20150519
1,0,0.0,1.0,0.488196,0.256,1.0,1.0,15,20150519
1,1,1.0,0.563888,0.554869,0.064,0.0,1.0,15,20150519
1,1,0.0,0.066856,0.581432,0.064,0.0,0.0,15,20150519
1,1,1.0,0.223533,0.608096,0.128,0.0,1.0,15,20150519
1,0,1.0,1.0,0.408063,0.0,1.0,0.0,15,20150519
1,1,1.0,1.0,0.394769,0.512,0.0,1.0,15,20150519
1,0,1.0,0.113441,0.501392,0.0,0.0,0.0,15,20150519
1,1,1.0,0.950637,0.288301,0.512,1.0,1.0,15,20150519
1,0,1.0,0.0,0.781434,0.032,1.0,0.0,15,20150519
1,1,1.0,0.986764,0.594855,0.032,0.0,1.0,15,20150519
1,1,1.0,1.0,0.488082,0.128,0.0,1.0,15,20150519
1,0,1.0,0.171244,1.274045,0.256,0.0,0.0,15,20150519
1,0,0.0,1.0,0.674529,0.256,1.0,1.0,15,20150519
1,1,1.0,0.924778,0.754729,0.032,1.0,1.0,15,20150519
1,0,1.0,0.097469,0.741312,0.032,0.0,0.0,15,20150519
1,0,0.0,0.100702,0.514775,0.032,0.0,1.0,15,20150519
1,1,1.0,0.465584,1.274914,0.128,1.0,1.0,15,20150519
1,0,0.0,1.0,0.48811,0.0,1.0,1.0,15,20150519
1,1,0.0,0.191209,0.47495,0.064,1.0,0.0,15,20150519
1,0,0.0,0.942461,0.63481,0.064,0.0,1.0,15,20150519
1,0,1.0,0.494866,0.741353,0.128,1.0,0.0,15,20150519
1,0,0.0,0.367661,0.501471,0.128,0.0,1.0,15,20150519
1,1,1.0,0.564268,0.608072,0.064,1.0,1.0,15,20150519
1,0,0.0,0.979919,0.514734,0.256,0.0,1.0,15,20150519
1,1,1.0,0.589367,0.581402,0.064,0.0,1.0,15,20150519
1,1,1.0,0.9687,0.42143,0.0,0.0,1.0,15,20150519
1,0,0.0,0.120096,0.701411,0.032,0.0,1.0,15,20150519
1,1,1.0,0.270118,0.514817,0.032,0.0,1.0,15,20150519
1,0,0.0,0.950066,0.461542,0.128,1.0,1.0,15,20150519
1,1,1.0,0.95501,0.381591,0.512,1.0,1.0,15,20150519
1,0,0.0,0.081687,0.594132,0.032,1.0,1.0,15,20150519
1,1,1.0,0.360055,0.474599,0.064,0.0,1.0,15,20150519
1,0,0.0,0.964707,0.514734,0.0,0.0,1.0,15,20150519
1,1,1.0,0.936376,0.301352,0.256,1.0,1.0,15,20150519
1,0,0.0,0.955771,0.368097,0.256,1.0,1.0,15,20150519
1,1,1.0,0.813544,0.488032,0.0,0.0,1.0,15,20150519
1,0,0.0,0.990186,0.394824,0.256,1.0,1.0,15,20150519
1,1,1.0,0.194822,0.501581,0.032,1.0,1.0,15,20150519
1,1,1.0,0.135688,0.781481,0.128,1.0,1.0,15,20150519
1,0,0.0,0.982771,0.421458,0.256,0.0,1.0,15,20150519
1,0,0.0,0.087582,0.581434,0.128,0.0,1.0,15,20150519
1,1,1.0,0.859369,0.448174,0.512,0.0,1.0,15,20150519
1,1,1.0,0.962996,0.341404,0.256,0.0,1.0,15,20150519
1,0,0.0,1.0,0.328125,0.512,1.0,1.0,15,20150519
1,0,0.0,1.0,0.448297,0.512,1.0,1.0,15,20150519
1,0,1.0,0.056398,0.701367,0.064,1.0,0.0,15,20150519
1,1,1.0,0.959003,0.461422,0.0,1.0,1.0,15,20150519
1,0,0.0,0.266315,0.839353,0.128,1.0,1.0,16,20150519
