Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
4,0,4,2,0.49604986399936,1.0,0.5,1,wm,3
4,0,0,3,3.48964134600101,1.0,1.0,1,wm,3
4,1,0,3,1.06518979099928,1.0,1.0,0,wm,3
4,1,1,3,2.28541098999995,1.0,1.0,1,wm,3
4,1,0,1,3.10194210799818,1.0,0.5,0,wm,3
4,1,0,2,4.82769147300132,1.0,0.5,0,wm,3
4,0,0,2,2.17799666099745,1.0,1.0,1,wm,3
4,0,0,2,1.36607047400321,1.0,1.0,1,wm,3
4,0,0,3,0.989830241000163,1.0,0.5,1,wm,3
4,0,0,3,0.511697263995302,1.0,0.5,1,wm,3
4,0,1,3,1.29377210900566,1.0,1.0,0,wm,3
4,1,1,2,1.32787308800471,1.0,0.5,1,wm,3
4,0,0,2,2.49931961500261,1.0,1.0,1,wm,3
4,1,1,2,1.96101277800335,1.0,0.5,1,wm,3
4,1,1,3,1.4781857620037,1.0,0.5,1,wm,3
4,1,1,3,0.953345588997763,1.0,1.0,1,wm,3
4,0,0,3,1.22476634900522,1.0,1.0,1,wm,3
4,1,1,4,2.32811092200427,1.0,1.0,1,wm,3
4,1,1,2,1.4620857090049,1.0,1.0,1,wm,3
4,0,0,3,2.28355470600218,1.0,0.5,1,wm,3
4,1,1,3,2.73494062299869,1.0,0.5,1,wm,3
4,0,0,3,1.66623014600191,1.0,1.0,1,wm,3
4,1,1,3,2.77264617900073,1.0,1.0,1,wm,3
4,1,1,2,1.9506455160008,1.0,0.5,1,wm,3
4,1,1,1,2.03009349300555,1.0,0.5,1,wm,3
4,0,1,1,0.474000064998108,1.0,0.5,0,wm,3
4,0,0,3,0.537551516004896,1.0,1.0,1,wm,3
4,0,0,1,0.707014379004249,1.0,0.5,1,wm,3
4,1,1,2,1.59103684900037,1.0,1.0,1,wm,3
4,1,0,2,2.97268457500468,1.0,1.0,0,wm,3
4,0,0,1,1.19188773699716,1.0,0.5,1,wm,3
4,1,1,2,4.58898560400121,1.0,1.0,1,wm,3
4,0,0,2,2.30379822900431,1.0,0.5,1,wm,3
4,0,0,1,0.843401822006854,1.0,0.5,1,wm,3
4,0,0,1,1.91979118100426,1.0,0.5,1,wm,3
4,1,1,3,1.59843064400047,1.0,1.0,1,wm,3
4,1,1,3,1.70403268100199,1.0,0.5,1,wm,3
4,1,0,2,2.16550044299947,1.0,0.5,0,wm,3
4,0,0,3,1.82181527600187,1.0,1.0,1,wm,3
4,1,1,2,1.68738262800616,1.0,0.5,1,wm,3
4,1,0,1,0.67988198200328,1.0,1.0,0,wm,3
4,0,0,1,0.74428753900429,1.0,1.0,1,wm,3
4,1,1,3,1.00609096500557,1.0,1.0,1,wm,3
4,1,1,2,1.84342534699681,1.0,0.5,1,wm,3
4,1,1,3,1.30092944100033,1.0,1.0,1,wm,3
4,0,0,3,1.16318372100068,1.0,0.5,1,wm,3
4,1,1,3,3.76429535000352,1.0,1.0,1,wm,3
4,1,0,1,0.966190845007077,1.0,1.0,0,wm,3
4,1,0,1,11.9611397670014,1.0,1.0,0,wm,3
4,0,0,1,1.98135465499945,1.0,1.0,1,wm,3
4,1,1,3,1.37364801300282,1.0,1.0,1,wm,3
4,1,1,3,2.59455659499508,1.0,1.0,1,wm,3
4,1,1,3,3.43749545299943,1.0,1.0,1,wm,3
4,0,0,1,0.452046979000443,1.0,1.0,1,wm,3
4,0,0,1,0.538026633003028,1.0,1.0,1,wm,3
4,0,0,2,2.13447483899654,1.0,0.5,1,wm,3
4,1,1,3,2.36643853900023,1.0,0.5,1,wm,3
4,1,1,3,1.40104248000716,1.0,1.0,1,wm,3
4,1,1,3,1.3939473520004,1.0,0.5,1,wm,3
4,0,0,2,2.17587506400014,1.0,0.5,1,wm,3
4,1,0,2,2.18755945099838,3.0,0.5,0,wm,4
4,1,1,3,2.40461840199714,3.0,1.0,1,wm,4
4,1,0,3,9.57228634499916,3.0,1.0,0,wm,4
4,0,1,3,1.79168048700376,3.0,0.5,0,wm,4
4,1,1,3,1.71474553200096,3.0,1.0,1,wm,4
4,0,0,2,2.12799658699805,3.0,1.0,1,wm,4
4,0,1,4,1.89814325000771,3.0,1.0,0,wm,4
4,0,0,2,1.60834016500303,3.0,0.5,1,wm,4
4,0,1,3,1.73421637299907,3.0,0.5,0,wm,4
4,1,1,3,1.55100072200003,3.0,0.5,1,wm,4
4,1,1,2,2.39558869500615,3.0,0.5,1,wm,4
4,0,0,3,1.91727275500307,3.0,1.0,1,wm,4
4,1,1,3,1.77449692699884,3.0,1.0,1,wm,4
4,1,1,2,3.75361869700282,3.0,0.5,1,wm,4
4,1,0,1,1.46464867099712,3.0,1.0,0,wm,4
4,0,0,2,2.32902946399554,3.0,1.0,1,wm,4
4,0,0,1,3.01744569100265,3.0,0.5,1,wm,4
4,0,0,3,3.47834942200279,3.0,1.0,1,wm,4
4,0,0,2,2.06211742400046,3.0,0.5,1,wm,4
4,1,1,3,1.95389024100587,3.0,1.0,1,wm,4
4,1,0,1,2.67376410300494,3.0,0.5,0,wm,4
4,0,0,3,2.07102848900104,3.0,1.0,1,wm,4
4,1,1,1,1.97423207200336,3.0,1.0,1,wm,4
4,1,0,3,2.05890442800592,3.0,0.5,0,wm,4
